Idcode,aplt2010,acos2010,aper2010,aper10%,prod2010,rend2010,prec2010,valo2010,POBTOT10,Pob_rur10,Pob_rur%,P5_HLI10,P5_HL%I10,Categorie
26061,,,,,,,,,1284,1284,100,2,0.16,NA
26062,,,,,,,,,1121,1121,100,0,0,NA
26063,,,,,,,,,1365,1365,100,0,0,NA
26064,,,,,,,,,1731,1731,100,2,0.12,NA
26065,,,,,,,,,1735,1735,100,4,0.23,NA
26067,,,,,,,,,1738,1738,100,2,0.12,NA
26068,,,,,,,,,1254,1254,100,0,0,NA
26070,,,,,,,,,15652,2803,17.9,93,0.59,NA
26071,,,,,,,,,22009,5574,25.3,1036,4.71,NA
26072,,,,,,,,,14136,3551,25.1,920,6.51,NA
28005,,,,,,,,,4589,4589,100,6,0.13,NA
28007,,,,,,,,,14933,6949,46.5,40,0.27,NA
28008,,,,,,,,,4423,4423,100,14,0.32,NA
28009,,,,,,,,,197216,0,0,1760,0.89,NA
28010,,,,,,,,,2011,2011,100,2,0.1,NA
28014,,,,,,,,,4477,165,3.7,27,0.6,NA
28015,,,,,,,,,15775,4252,27,72,0.46,NA
28023,,,,,,,,,4530,4530,100,20,0.44,NA
28024,,,,,,,,,4762,0,0,7,0.15,NA
28025,,,,,,,,,27015,2452,9.1,106,0.39,NA
28027,,,,,,,,,384033,3357,0.9,1970,0.51,NA
28033,,,,,,,,,118259,12434,10.5,944,0.8,NA
28038,,,,,,,,,297554,270,0.1,2451,0.82,NA
28040,,,,,,,,,63170,7382,11.7,164,0.26,NA
30028,,,,,,,,,138058,1604,1.2,886,0.64,NA
30118,,,,,,,,,120995,151,0.1,2301,1.9,NA
30131,,,,,,,,,193311,4812,2.5,3316,1.72,NA
32018,,,,,,,,,4306,4306,100,1,0.02,NA
32044,,,,,,,,,15656,8339,53.3,46,0.29,NA
