Idcode,aplt2010,acos2010,aper2010,aper10%,prod2010,rend2010,prec2010,valo2010,POBTOT10,Pob_rur10,Pob_rur%,P5_HLI10,P5_HL%I10,Categorie
14124,13090.2,13090.2,0,0,70032.57,5.35,2852.67,199780.07,63636,25447,40,118,0.19,5.01-6
18020,280,257,23,8.2,1374.95,5.35,2400,3299.88,124205,20563,16.6,914,0.74,5.01-6
14103,1096,1096,0,0,6007.41,5.48,2890.94,17367.04,7256,785,10.8,9,0.12,5.01-6
14023,5899,5899,0,0,32661.86,5.54,2950,96352.48,100534,2784,2.8,214,0.21,5.01-6
14108,11412,11412,0,0,63287.51,5.55,2898.02,183408.44,34182,6659,19.5,187,0.55,5.01-6
14121,6350,6350,0,0,35438.17,5.58,2900,102770.68,29192,3761,12.9,36,0.12,5.01-6
18004,4345,4231,114,2.6,23820.53,5.63,2250,53596.19,70399,24754,35.2,608,0.86,5.01-6
14055,2867,2867,0,0,16155.4,5.64,2900,46850.65,21321,5107,24,60,0.28,5.01-6
14079,3220,3180,40,1.2,18412.56,5.79,2950,54317.05,14011,1677,12,5,0.04,5.01-6
14011,2400,2390,10,0.4,13958.15,5.84,2900,40478.64,5400,5400,100,4,0.07,5.01-6
12035,4337,4223,114,2.6,24766.33,5.86,3200,79252.25,140363,16475,11.7,2632,1.88,5.01-6
14083,5275,5275,0,0,30927.82,5.86,2450.49,75788.37,69031,12562,18.2,263,0.38,5.01-6
14050,7248,7248,0,0,42783.95,5.9,2903.9,124240.38,42164,9783,23.2,76,0.18,5.01-6
14085,8975,8975,0,0,52913.64,5.9,3016.7,159624.63,37986,15709,41.4,99,0.26,5.01-6
18003,1988,1318,670,33.7,7858,5.96,3187.27,25045.6,11188,8031,71.8,36,0.32,5.01-6
14024,6028,6028,0,0,36774.73,6.1,2650.78,97481.87,26174,9069,34.6,29,0.11,6.01-7
14095,1606,1606,0,0,9837.9,6.13,2487.55,24472.26,9088,5314,58.5,8,0.09,6.01-7
14007,3865,3865,0,0,23847.09,6.17,2453.09,58499.09,8896,3523,39.6,25,0.28,6.01-7
